price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
36.9,Badangpet,860.0,Ready To Move,Unfurnished,2,2,1,North East,2.0,Servant Room,5-7,5.0,premium
53.5,Medak Road,1800.0,Ready To Move,Unfurnished,3,2,1,East,2.0,"Study Room,Extra Room",2-4,4.0,low
91.0,Kondapur,1525.0,Under Construction,Unfurnished,3,3,1,East,3.0,Pooja Room,0-1,5.0,low
47.92,Chandanagar,1065.0,Ready To Move,Unfurnished,2,2,1,North,5.0,Pooja Room,0-1,20.0,premium
68.0,Malkajgiri,1100.0,Ready To Move,Furnished,3,3,1,East,5.0,Pooja Room,5-7,5.0,premium
107.0,Suchitra Road,1950.0,Under Construction,Unfurnished,3,3,2,East,3.0,Pooja Room,0-1,10.0,high
90.93,Bachupally,1716.0,Ready To Move,Unfurnished,3,3,2,West,3.0,Study Room,0-1,10.0,low
107.0,Suchitra Road,1950.0,Under Construction,Unfurnished,3,3,2,East,3.0,Pooja Room,0-1,10.0,high
45.0,Boduppal,1100.0,Ready To Move,Furnished,2,2,2,West,2.0,Extra Room,8-10,3.0,premium
73.12,Nizampet,1125.0,Under Construction,Unfurnished,2,2,1,East,3.0,Extra Room,0-1,5.0,premium
57.7,Bn Reddy Nagar,1153.0,Ready To Move,Unfurnished,2,2,1,East,2.0,Extra Room,0-1,5.0,premium
77.0,Velmala,1750.0,Under Construction,Unfurnished,3,3,2,West,18.0,Pooja Room,0-1,15.0,low
75.0,Tellapur,1180.0,Under Construction,Unfurnished,2,2,1,East,6.0,"Pooja Room,Servant Room",0-1,10.0,premium
42.48,Gandi Maisamma,1062.0,Ready To Move,Unfurnished,2,2,1,West,3.0,Pooja Room,0-1,5.0,premium
88.0,Mallapur,2237.1499999999996,Under Construction,Unfurnished,3,3,1,East,2.0,Pooja Room,0-1,10.0,high
113.99999999999999,Kondapur,1525.0,Under Construction,Unfurnished,3,3,2,East,6.0,"Pooja Room,Study Room",0-1,12.0,low
98.0,Kollur,2237.1499999999996,Under Construction,Unfurnished,3,3,1,West,4.0,Pooja Room,0-1,1.0,high
125.0,Miyapur,1960.0,Under Construction,Unfurnished,3,3,1,North,1.0,"Pooja Room,Study Room",0-1,4.0,high
120.0,Hitech City,1770.0,Under Construction,Unfurnished,3,3,2,East,6.0,Pooja Room,0-1,7.0,low
99.0,Pragathi Nagar,1755.0,Under Construction,Unfurnished,3,3,1,East,18.0,Extra Room,0-1,5.0,low
39.4,Gundlapochampalli,985.0,Ready To Move,Unfurnished,2,2,1,North East,2.0,Pooja Room,0-1,5.0,premium
